id,Kraj,Liga,Superbet,Flashscore
,Trinidad-And-Tobago,Pro League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/trynidad-i-tobago/pro-league/?ct=m,https://flashscore.pl/pilka-nozna/trynidad-i-tobago/pro-league/
204,Turkey,1. Lig,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/turcja/1-lig/?ct=m,https://flashscore.pl/pilka-nozna/turcja/1-lig/
203,Turkey,Süper Lig,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/turcja/super-lig/wszystko?ct=or,https://flashscore.pl/pilka-nozna/turcja/1-lig/
585,Uganda,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/uganda/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/uganda/premier-league/
333,Ukraine,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/ukraina/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/ukraina/premier-league/
303,United-Arab-Emirates,Division 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/zea/1st-division/wszystko?ct=m,
301,United-Arab-Emirates,Pro League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/zea/pro-league/?ct=m,https://flashscore.pl/pilka-nozna/zea/pro-league/
269,Uruguay,Segunda División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/urugwaj/segunda-division-baraze/?ct=m,https://flashscore.pl/pilka-nozna/urugwaj/segunda-division-baraze/
268,Uruguay,Primera División - Apertura,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/urugwaj/primera-division/?ct=m,https://flashscore.pl/pilka-nozna/urugwaj/primera-division/
270,Uruguay,Primera División - Clausura,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/urugwaj/primera-division/?ct=m,https://flashscore.pl/pilka-nozna/urugwaj/primera-division/
253,USA,Major League Soccer,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/usa/mls-playoff/?ct=m,https://flashscore.pl/pilka-nozna/usa/mls-playoff/
369,Uzbekistan,Super League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/uzbekistan/super-league/?ct=m,https://flashscore.pl/pilka-nozna/uzbekistan/super-league/
110,Wales,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/walia/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/walia/premier-league/
15,World,FIFA Club World Cup,,
2,World,UEFA Champions League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/miedzynarodowe-klubowe/liga-mistrzow/,https://flashscore.pl/pilka-nozna/miedzynarodowe-klubowe/liga-mistrzow/
848,World,UEFA Europa Conference League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/miedzynarodowe-klubowe/liga-konferencji/?ct=m,https://flashscore.pl/pilka-nozna/miedzynarodowe-klubowe/liga-konferencji/
3,World,UEFA Europa League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/miedzynarodowe-klubowe/liga-europy/?ct=m,https://flashscore.pl/pilka-nozna/miedzynarodowe-klubowe/liga-europy/
531,World,UEFA Super Cup,,
400,Zambia,Super League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/zambia/super-league/wszystko?ct=m,
,Salwador,Primera Division ,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/salwador/primera-division-playoff/wszystko?ct=m,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/salwador/primera-division-playoff/wszystko?ct=m
